sequence_identifier	Kingdom	Phylum	Class	Order	Family	Genus	Mfunction
f8982772a9c253424ff0e0b0f7a41c78	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	uncultured	uncultured
f8ad130b616973c01beae5ba90d20ebf	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas
f9263618485ff582634296e3e246c21c	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium
f93314b1f19a3df32f4af0345b13df9e	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
fa412fcc6059489188f13ba4d53ea81a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
fa4335d89bb11c781536b204871c9be9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
fa895c6f8c930bae663f947b0a84178f	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
faa55c3fe037186537c04906c346b285	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia
fac317a58eb538db435564ec4228251a	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium
fb1a272bc4afb3b0bd4c0f8bb094908d	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	Steroidobacter
fb3166000ce068a7727a89778680dd18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium
fb46ee28926a371a9c781913401666d1	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia
fb68f53263d3b91332e1a02ae3c3cb1f	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
